,Exporting_Country,Exporting_Industry,Importing_Country,RDV,DVA,FVA,PDC
616,AUS,Manufacture of basic metals,AUS,0.0,0.0,0.0,0.0
617,AUS,Manufacture of basic metals,AUT,0.006227957827303743,1.0293792103014803,0.2296738037635667,0.28661596046388876
618,AUS,Manufacture of basic metals,BEL,0.24612600890829076,27.589565269904753,2.7314597268044167,11.18694288150501
619,AUS,Manufacture of basic metals,BGR,0.0001755336002467742,0.07612972072277974,0.022051853269336646,0.01600517477120702
620,AUS,Manufacture of basic metals,BRA,0.039714647500396126,25.726666235206153,10.50419395695414,2.371751355241909
621,AUS,Manufacture of basic metals,CAN,0.3200818139318604,71.20420894574785,16.524627147952643,19.22017072287528
622,AUS,Manufacture of basic metals,CHE,0.14805487762930478,19.586975238775707,3.07366273071071,6.789500217108498
623,AUS,Manufacture of basic metals,CHN,28.894308984161864,5398.6035366311735,2056.002554367005,657.6805874399533
624,AUS,Manufacture of basic metals,CYP,6.706535025298645e-05,0.039013430512037504,0.013777871232186333,0.005675486625673335
625,AUS,Manufacture of basic metals,CZE,0.0028306363598529873,0.4973315904163879,0.06889553412548557,0.1807989859031699
626,AUS,Manufacture of basic metals,DEU,0.21267981366615424,32.841776517504144,6.574984627732233,9.918359473742727
627,AUS,Manufacture of basic metals,DNK,0.006590808668976118,1.8790742450200804,0.6459310445123104,0.29098282078994614
628,AUS,Manufacture of basic metals,ESP,0.18326533111747573,26.65423277035699,5.162690095173669,8.255161679934929
629,AUS,Manufacture of basic metals,EST,0.00011046334873895155,0.03296788613730548,0.011272389276329299,0.005163698252997747
630,AUS,Manufacture of basic metals,FIN,0.05544732279707802,5.501014839920109,0.687847722493592,2.0909986506953024
631,AUS,Manufacture of basic metals,FRA,0.09164797185297363,18.15480944018605,4.6174443232957785,4.495553766179871
632,AUS,Manufacture of basic metals,GBR,2.2465115586063726,247.64348943663936,49.16127730989045,75.73207769078459
633,AUS,Manufacture of basic metals,GRC,0.00014507372061989387,0.08120269040479748,0.03317830507226879,0.007197809033599592
634,AUS,Manufacture of basic metals,HRV,6.391153895462818e-05,0.024809657382242997,0.007012372206714121,0.005397143067944719
635,AUS,Manufacture of basic metals,HUN,0.0006281495949272196,0.13368914941137577,0.03292354278669736,0.03387553154195302
636,AUS,Manufacture of basic metals,IDN,1.1112316122573138,372.0470055990978,169.38854959705836,17.175164903831345
637,AUS,Manufacture of basic metals,IND,3.4998135457014095,1269.369363704253,506.2179415462967,130.14395749796995
638,AUS,Manufacture of basic metals,IRL,0.0019030741028432804,0.4429678359847928,0.11966444126165605,0.10176771912132432
639,AUS,Manufacture of basic metals,ITA,0.16366538897318195,20.21909228122408,3.815059723637037,6.375215372817526
640,AUS,Manufacture of basic metals,JPN,17.47356881340491,1778.8222611515548,444.963269147884,453.3493230282175
641,AUS,Manufacture of basic metals,KOR,6.970296813701791,758.7208711676408,169.63236907847156,213.31075634662355
642,AUS,Manufacture of basic metals,LTU,1.1793208026688729e-05,0.005934713516484889,0.0019659948039166463,0.0009865833244591012
643,AUS,Manufacture of basic metals,LUX,2.6807511689498623e-05,0.026646781106369425,0.01062238122556847,0.0025716596725805234
